Season Episode View
1 1 11.20
1 2 6.00
1 3 5.80
1 4 5.40
1 5 5.00
1 6 4.80
2 7 9.00
2 8 7.13
2 9 8.30
2 10 7.60
2 11 8.00
2 12 7.90
2 13 7.50
2 14 8.00
2 15 8.10
2 16 9.70
2 17 8.70
2 18 10.30
2 19 8.70
2 20 8.60
2 21 5.42
2 22 8.95
2 23 8.40
2 24 8.80
2 25 7.80
2 26 7.80
2 27 7.40
2 28 7.60
3 29 9.11
3 30 7.78
3 31 8.89
3 32 8.83
3 33 8.46
3 34 8.81
3 35 8.05
3 36 8.63
3 37 9.07
3 38 8.44
3 39 8.80
3 40 10.12
3 41 10.20
3 42 10.11
3 43 8.84
3 44 8.84
3 45 8.30
3 46 6.74
3 47 7.71
3 48 7.56
3 49 7.00
3 50 7.20
3 51 7.88
4 52 9.70
4 53 8.49
4 54 8.91
4 55 8.50
4 56 8.98
4 57 8.39
4 58 8.29
4 59 8.86
4 60 9.22
4 61 9.81
4 62 7.56
4 63 7.67
4 64 7.22
4 65 8.07
5 66 9.20
5 67 8.99
5 68 8.07
5 69 7.74
5 70 9.32
5 71 8.35
5 72 8.18
5 73 8.40
5 74 8.33
5 75 8.79
5 76 8.50
5 77 8.74
5 78 22.91
5 79 8.39
5 80 8.89
5 81 8.63
5 82 7.51
5 83 7.95
5 84 8.45
5 85 7.20
5 86 7.94
5 87 8.24
5 88 7.21
5 89 7.31
5 90 7.71
5 91 6.72
6 92 8.20
6 93 7.33
6 94 7.28
6 95 9.42
6 96 8.10
6 97 8.52
6 98 8.20
6 99 7.94
6 100 7.76
6 101 7.43
6 102 8.10
6 103 8.51
6 104 7.29
6 105 7.36
6 106 7.40
6 107 9.00
6 108 7.51
6 109 7.63
6 110 7.17
6 111 6.30
6 112 7.01
6 113 6.84
6 114 6.60
6 115 6.60
7 116 8.40
7 117 7.36
7 118 6.95
7 119 7.36
7 120 6.87
7 121 8.07
7 122 7.65
7 123 7.15
7 124 7.28
7 125 7.31
7 126 7.18
7 127 8.26
7 128 7.93
7 129 7.29
7 130 6.90
7 131 6.41
7 132 6.12
7 133 7.07
7 134 7.87
7 135 6.85
7 136 8.42
7 137 6.90
7 138 6.45
7 139 7.29
8 140 7.64
8 141 6.70
8 142 5.82
8 143 6.08
8 144 5.53
8 145 6.15
8 146 5.96
8 147 5.50
8 148 5.71
8 149 5.79
8 150 5.90
8 151 6.02
8 152 5.31
8 153 5.19
8 154 4.38
8 155 5.02
8 156 4.95
8 157 4.89
8 158 4.87
8 159 4.39
8 160 4.35
8 161 4.17
8 162 4.44
8 163 4.49
9 164 4.28
9 165 4.13
9 166 4.14
9 167 4.28
9 168 4.00
9 169 4.83
9 170 4.16
9 171 3.88
9 172 4.16
9 173 4.54
9 174 4.15
9 175 4.19
9 176 4.45
9 177 3.97
9 178 4.15
9 179 4.06
9 180 3.54
9 181 3.44
9 182 3.83
9 183 3.25
9 184 3.51
9 185 4.56
9 186 5.69
